edge_id,road_name,road_class,road_surface,lanes,highway_rt,length_feature_m,length_calc_m,from,to,elev_from,geometry.x,elev_to,geometry.y,elev_diff,slope,length_3d_m
2156211,Bernard Ave,local,paved,2,NA,65.6683,65.66830798065152,5219,5264,1899,"c(1469850.5, 563107.5)",1909,"c(1469915, 563119.5)",10,0.15228045776581292,66.4253466158943
2155788,NA,resource,loose,2,NA,153.7581,153.7581478045147,5219,5151,1899,"c(1469850.5, 563107.5)",1867,"c(1469781.5, 563240.5)",-32,-0.20811905227087032,157.05275551952275
2156212,Glenmore Dr,arterial,paved,2,NA,633.3925,633.3924533835611,5141,5098,1862,"c(1469773.5, 563134)",1851,"c(1469718.5, 563765)",-11,-0.017366799906185133,633.4879635819821
2156291,NA,unclassified,loose,1,NA,27.8803,27.880275357132785,5553,5572,1979,"c(1470419.5, 563253)",1982,"c(1470447.5, 563256.5)",3,0.10760295447485568,28.04121527305023
2403832,Chilcotin Cres,local,paved,2,NA,153.9868,153.9868309979487,5647,5588,1997,"c(1470595.5, 563949)",1983,"c(1470494.5, 563842)",-14,-0.09091686548303926,154.62193932553947
2637302,Glenmore Dr,arterial,paved,2,NA,48.1531,48.15307804403014,5068,5072,1841,"c(1469680, 564038)",1844,"c(1469684.5, 563990)",3,0.06230131326717816,48.24643950712277
2637299,Glenmore Elementary School Access,service,paved,1,NA,106.138,106.13795261356712,4988,5046,1803,"c(1469526, 564025.5)",1828,"c(1469631.5, 564034)",25,0.23554251221541242,109.04249164889723
2637300,Glenmore Elementary School Access,service,paved,1,NA,48.6501,48.650053905393506,5046,5068,1828,"c(1469631.5, 564034)",1841,"c(1469680, 564038)",13,0.267214503508675,50.357002938992444
2637298,Glenmore Elementary School Access,service,paved,2,NA,53.1559,53.15588244369752,5046,5056,1828,"c(1469631.5, 564034)",1832,"c(1469660.5, 564059.5)",4,0.07525037335682994,53.3061707344299
2637301,Glenmore Dr,arterial,paved,2,NA,181.4169,181.4168629566421,5061,5068,1836,"c(1469664.5, 564218.5)",1841,"c(1469680, 564038)",5,0.02756083375333736,181.48575196149437
2645980,Liban Crt,local,paved,2,NA,178.1472,178.1471920879033,4978,4981,1799,"c(1469490, 564383.5)",1802,"c(1469504, 564206)",3,0.01684000721448199,178.17245030813353
2681209,Lowland St,local,paved,2,NA,46.0772,46.07720488487368,5034,5036,1821,"c(1469601.5, 564259.5)",1822,"c(1469605.5, 564213.5)",1,0.02170270532899191,46.0880549600721
2507738,Glenmore Dr,arterial,paved,2,NA,263.7063,263.70630093909693,5058,5061,1834,"c(1469661, 564482)",1836,"c(1469664.5, 564218.5)",2,0.007584194965678506,263.713885025005
2681208,Lowland St,local,paved,2,NA,220.3573,220.35728624709665,5020,5034,1816,"c(1469583.5, 564479)",1821,"c(1469601.5, 564259.5)",5,0.022690422836271783,220.41400500463868
2681210,Lowland St,strata,paved,2,NA,33.2539,33.25391052202298,5034,5048,1821,"c(1469601.5, 564259.5)",1829,"c(1469635, 564262)",8,0.24057321001997228,34.202668974901805
2402865,Sladen Cres,local,paved,2,NA,183.2849,183.28488277164328,4404,4421,1496,"c(1468683, 564356)",1505,"c(1468701.5, 564419.5)",9,0.04910388605924037,183.50571722051336
2402861,Boynton Pl,local,paved,2,NA,95.0088,95.00880597011916,4455,4421,1517,"c(1468736.5, 564508)",1505,"c(1468701.5, 564419.5)",-12,-0.1263040817897877,95.76363198974728
2507737,Glenmore Dr,arterial,paved,2,NA,41.0006,41.0006127880974,5059,5058,1835,"c(1469662.5, 564523)",1834,"c(1469661, 564482)",-1,-0.024389879370054268,41.01280591473224
2507739,turning lane,yield,paved,1,NA,54.656,54.655979921559975,5038,5058,1823,"c(1469613.5, 564499.5)",1834,"c(1469661, 564482)",11,0.20125885613590222,55.75191603152278
2507741,High Rd,collector,paved,2,NA,29.7017,29.701679178276656,5038,5049,1823,"c(1469613.5, 564499.5)",1830,"c(1469638, 564516.5)",7,0.23567691099160787,30.515401783513735
2507742,High Rd,collector,paved,2,NA,25.6345,25.634512088206375,5049,5059,1830,"c(1469638, 564516.5)",1835,"c(1469662.5, 564523)",5,0.1950495481558372,26.11758430637104
2507740,turning lane,yield,paved,1,NA,61.6762,61.67620948626427,5062,5049,1837,"c(1469666.5, 564569.5)",1830,"c(1469638, 564516.5)",-7,-0.11349595019387418,62.07217425379552
2507736,Glenmore Dr,arterial,paved,2,NA,46.6168,46.616848563603355,5062,5059,1837,"c(1469666.5, 564569.5)",1835,"c(1469662.5, 564523)",-2,-0.04290294306941896,46.65973178236163
2615173,Summit Dr,collector,paved,2,NA,84.765,84.7650047130462,5104,5178,1852,"c(1469725, 564528.5)",1884,"c(1469809.5, 564533.5)",32,0.37751428326264075,90.60411703671497
2615174,Summit Dr,collector,paved,2,NA,80.0207,80.0207349628643,5178,5249,1884,"c(1469809.5, 564533.5)",1906,"c(1469889.5, 564538)",22,0.2749287420342949,82.9898669958988
